,index,Unnamed: 0,Language,Model,BeamSearch,Temperature,Category,Input String,Original,Generated,TextID,BERTScore F1,chrF++,Sentence BLEU,Corpus BLEU
11,3287,3287,EN,Phi4,,0.8,Scientist,Lady Anne Monson has residence India. Lady Anne Monson has spouse George Monson. Lady Anne Monson has deathDate 1776-02-18. ,"['Before her death on February 18, 1776, Lady Anne Monson was a resident of India married to George Monson.', 'Lady Anne Monson (died on February 18th, 1776) was the spouse of George Monson and resided in India for most of her life.', 'Lady Anne Monson resided in India with her husband George before her death on February 2, 1776.']","Lady Anne Monson resided in India. She was married to George Monson. Lady Anne Monson passed away on February 18, 1776.",Id1509,0.7883067925771078,0.541151205698649,0.7309124055233553,
12,3165,3165,EN,Phi4,,0.8,Film,Its Great to Be Young (1956 film) has starring Cecil Parker. Cecil Parker has birthYear 1897. ,"[""Cecil Parker, born in 1897, stars in the 1956 film It's Great to be Young."", ""Cecil Parker, who was born in 1897, starred in the 1956 movie It's Great to Be Young."", ""It's Great to Be Young starred Cecil Parker, who was born in 1897.""]","Its Great to Be Young (1956 film) stars Cecil Parker, who was born in 1897.",Id1387,0.7388104200363159,0.6670895417531332,0.8959960053940194,
13,1903,1903,EN,Phi4,,0.8,Scientist,Olga Bondareva has birthDate 1937-04-27. Olga Bondareva has almaMater Leningrad State University. Olga Bondareva has deathDate 1991-12-09. ,"['Olga Bondareva, who lived from April 27th, 1937 to December 9th, 1991, was a student at Leningrad State University.', 'Olga Bondareva (born on April 27, 1937) graduated from Leningrad State University, and died on the ninth of December 1991.', 'Olga Bondareva, an alumnus of Leningrad State University, was born April 27, 1937 and died December 9, 1991.']","Olga Bondareva was born on April 27, 1937, graduated from Leningrad State University, and passed away on December 9, 1991.",Id125,0.8174317479133606,0.6481891473134359,0.8838511465594953,
14,3087,3087,EN,Phi4,,0.8,Politician,Abdul Taib Mahmud has residence Sarawak. Abdul Taib Mahmud has party Parti Pesaka Bumiputera Bersatu. ,"['Abdul Taib Mahmud is a member of the Parti Pesaka Bumiputera Bersatu and lives in Sarawak.', 'Parti Pesaka Bumiputera Bersatu member, Abdul Taib Mahmud lives in Sarawak.', 'Abdul Taib Mahmud, a member of the Parti Pesaka Bumiputera Bersatu party, lives in Sarawak.']",Abdul Taib Mahmud resides in Sarawak and is a member of the Parti Pesaka Bumiputera Bersatu.,Id1309,0.8944728573163351,0.7841484745343527,0.90464353868004,
15,3116,3116,EN,Phi4,,0.8,MeanOfTransportation,Pontiac Rageous has manufacturer Pontiac. ,"['The Pontiac Rageous is manufactured by Pontiac.', 'The Pontiac Rageous was a car manufactured by Pontiac.']",Pontiac Rageous is manufactured by Pontiac.,Id1338,0.8842534124851227,0.8101637959480286,0.9111723099960218,
16,2330,2330,EN,Phi4,,0.8,Astronaut,"Buzz Aldrin has birthPlace Glen Ridge, New Jersey. Buzz Aldrin has mission Apollo 11. ","['Buzz Aldrin, an Apollo 11 crew member, was born in Glen Ridge, New Jersey.', 'Born in Glen Ridge, New Jersey, Buzz Aldrin was an Apollo 11 crew member.', 'Buzz Aldrin born in Glen Ridge, New Jersey was a crew member of Apollo 11.']","Buzz Aldrin was born in Glen Ridge, New Jersey, and he participated in the Apollo 11 mission.",Id552,0.8523363471031189,0.6414729356765747,0.6604280801955335,
17,1993,1993,EN,Phi4,,0.8,CelestialBody,Grigory Neujmin has deathDate 1946-12-17. ,"[""Grigory Neujmin's date of death was December 17, 1946."", 'Grigory Neujmin died on the 17th of December 1946.', 'Grigory Neujmin died on Dec 17, 1946.']","Grigory Neujmin passed away on December 17, 1946.",Id215,0.8705255587895712,0.5807216564814249,0.7859728846557532,
18,3335,3335,EN,Phi4,,0.8,Artist,Aaron Turner has genre Post-metal. Aaron Turner has associatedBand/associatedMusicalArtist Lotus Eaters (band). Aaron Turner has instrument Singing. Aaron Turner has origin United States. Aaron Turner has activeYearsStartYear 1995. ,"['Aaron Turner, an American singer and musician in the Lotus Eaters band, started performing in 1995 in post metal genre.', 'Aaron Turner is a post-metal singer from the US who started performing in 1995 and is a musician in the Lotus Eaters band.', 'Aaron Turner was a post-metal singer born in the the United States who started performing in 1995 and is in the Lotus Eaters band.']","Aaron Turner, a singer with a background in Post-metal, is associated with the band Lotus Eaters. He hails from the United States and has been active since 1995.",Id1557,0.7230941851933798,0.4160025020440419,0.5979647543828344,
19,2199,2199,EN,Phi4,,0.8,Building,Alan B. Miller Hall has architect Robert A. M. Stern. Alan B. Miller Hall has currentTenants Mason School of Business. Alan B. Miller Hall has location Virginia. Alan B. Miller Hall has owner College of William & Mary. ,"['The designer of Alan B Miller Hall, located in Virginia, was Robert A M Stern. The current tenants are the Mason School of Business, however the Hall’s owner is the College of William and Mary.', 'The Mason School of Business are the current tenants of Alan B Miller Hall, situated in Virginia, built by Robert A.M. Stern and owned by the College of William and Mary.', 'Robert A.M. Stern is the architect for Alan B. Miller Hall which is owned by the College of William and Mary and is in Virginia. The Mason School of Business are tenants of the Hall.']","Alan B. Miller Hall is designed by architect Robert A. M. Stern, located in Virginia, and is currently home to the Mason School of Business. The building is owned by the College of William & Mary.",Id421,0.7913402517636617,0.6194534103075663,0.8461126188583541,
20,4040,4040,EN,Phi4,,1.4,Film,Death on a Factory Farm has musicComposer Jamie Lawrence. Death on a Factory Farm has runtime 83.0. Death on a Factory Farm has director Sarah Teale. ,"[""Jamie Lawrence is the music composer of the 83 minute 'Death on a Factory Farm' film, directed by Sarah Teale."", 'Jamie Lawrence wrote the music for the film Death on a Factory Farm, which has a running time of 83 minutes and was directed by Sarah Teale.', '""Death on a Factory Farm"", with a running time of 83.0 is directed by Sarah Teale, with Jamie Lawrence as the musical composer.']","""Death on a Factory Farm is a musical composition by music composer Jamie Lawrence. The runtime of the composition is 83.0 minutes. The film ""Death on a Factory Farm"" was directed by Sarah Teale.""",Id483,0.716022272904714,0.566981832186381,0.6205984464991811,
21,4080,4080,EN,Phi4,,1.4,Film,Terence Rattigan has imdbId 0711905. ,"['Terence Rattigan is registered in IMDb under the ID 0711905.', ""Terence Rattigan's IMDb ID is 0711905."", 'The IMDb ID of Terence Rattigan is 0711905.']",Terence Rattigan has IMDb ID 0711905.,Id523,0.879911204179128,0.598318338394165,0.8818476214207834,
22,4473,4473,EN,Phi4,,1.4,Company,GMA New Media has product Online Game. ,"[""GMA New Media's main product is online games."", 'GMA New Media produces online games.', 'GMA New Media makes online games.', 'GMA New Media is a company that offers online games products.']",GMA New Media has released a new Online Game.,Id916,0.7571633160114288,0.3770483806729316,0.5035042152207474,
23,4628,4628,EN,Phi4,,1.4,Film,Super Capers has starring Michael Rooker. Super Capers has starring Tom Sizemore. Super Capers has language English language. ,"['Super Capers, starring Michael Rooker and Tom Sizemore, is a movie in English.', 'Michael Rooker and Tom Sizemore star in the English-speaking movie Super Capers.', 'Michael Rooker played in Super Capers, an English-language film starring Tom Sizemore.']","Super Capers stars Michael Rooker and Tom Sizemore, features a cast in the English language.",Id1071,0.7586346467336019,0.5997201402982076,0.7739179739688675,
24,3938,3938,EN,Phi4,,1.4,Artist,Liselotte Grschebina has nationality Israel. Liselotte Grschebina has birthPlace German Empire. Liselotte Grschebina has training School of Applied Arts in Stuttgart. ,"['Liselotte Grschebina was born in the German Empire, her nationality is Israeli and she attended the school of Applied Arts in Stuttgart.', 'Liselotte Grschebina was born within the German Empire and is an Israeli national. Grschebina attended the school of Applied Arts in Stuttgart.', 'Liselotte Grschebina was born in the German Empire, is an Israeli national and did her studies at the School of Applied Arts in Stuttgart.']",Liselotte Grschebina is an individual of Israeli nationality. She was born in the German Empire and received her training from the School of Applied Arts in Stuttgart.,Id381,0.8737829724947611,0.6967138449350992,0.7655029456676039,
25,3571,3571,EN,Phi4,,1.4,Artist,Israel has officialLanguage Modern Hebrew. ,"['The official language of Israel is modern Hebrew.', 'Israel’s official language is Modern Hebrew.', 'Modern Hebrew is the official language of Israel.']",Israel has Modern Hebrew as its official language.,Id14,0.8182053764661154,0.633826732635498,0.7972917634321648,
26,3694,3694,EN,Phi4,,1.4,ComicsCharacter,BBC has city Broadcasting House. Bananaman has creator Steve Bright. Bananaman has broadcastedBy BBC. Bananaman has starring Tim Brooke-Taylor. ,"['Tim Brooke-Taylor starred in the Steve Bright creation Bananaman which was broadcast by the BBC, based at Broadcasting House in London.', 'The BBC broadcasted TV show Bananaman, which starred Tim Brooke-Taylor and was created by Steve Bright. The BBC’s home and headquarters is Broadcasting House in London.']",BBC has city Broadcasting House. Bananaman has Steve Bright as the creator. Bananaman has been broadcasted by the BBC featured on broadcasting House. And it has Tim Brooke-Taylor performing the starring role.,Id137,0.6566259562969208,0.4607525020837784,0.5523011508499733,
27,5291,5291,EN,Phi4,,1.4,SportsTeam,Estádio Municipal Coaracy da Mata Fonseca has location Arapiraca. Agremiação Sportiva Arapiraquense has league Campeonato Brasileiro Série C. Campeonato Brasileiro Série C has country Brazil. Agremiação Sportiva Arapiraquense has ground Estádio Municipal Coaracy da Mata Fonseca. Agremiação Sportiva Arapiraquense has fullName Agremiação Sportiva Arapiraquense. ,"['Estádio Municipal Coaracy da Mata Fonseca in Arapiraca is the name of the ground of Agremiação Sportiva Arapiraquense. Agremiação Sportiva Arapiraquense (full name ""Agremiação Sportiva Arapiraquense"") play in the Campeonato Brasileiro Série C league from Brazil.', 'The Arapiraca based Estádio Municipal Coaracy da Mata Fonseca is the training ground of Agremiacao Sportiva Arapiraquense. With a full name of Agremiação Sportiva Arapiraquense, this team play in the Brazilian based Campeonato Brasileiro Série C league.']","Estádio Municipal Coaracy da Mata Fonseca is located in Arapiraca. Agremiação Sportiva Arapiraquense plays in the Campeonato Brasileiro Série C league, which is in Brazil. They play their home matches at Estádio Municipal Coaracy da Mata Fonseca. The full name of their association is Agremiação Sportiva Arapiraquense.",Id1734,0.8209062814712524,0.6518321633338928,0.6784225022860302,
28,4354,4354,EN,Phi4,,1.4,Astronaut,Zaoyang has isPartOf Hubei. ,"['Zaoyang city is a part of Hubei province.', 'Zaoyang is part of Hubei province.', 'The city of Zaoyang is part of Hubei province.']",Zaoyang is part of Hubei.,Id797,0.8909034729003906,0.5845140218734741,0.6747703635388687,
29,3688,3688,EN,Phi4,,1.4,Film,McVeagh of the South Seas has director Harry Carey (actor born 1878). McVeagh of the South Seas has writer Harry Carey (actor born 1878). McVeagh of the South Seas has producer The Progressive Motion Picture Company. ,"['""McVeagh of the South Seas"" was written and directed by Harry Carey born in 1878 and produced by Progressive Motion Picture Company.', 'Harry Carey, an actor born in 1878, was the director and writer for the film McVeagh of the South Seas which was produced by the Progressive Motion Picture Company.', 'Harry Carey, an actor and director, was born in 1878. He was the writer of the movie McVeagh of the South Seas, which was produced by the Progressive Motion Picture Company. As well as writing the film script, Carey also acted a role in the movie, and directed it.']","McVeagh of the South Seas features actor Harry Carey who, besides being the star of the film, also took credit as the writer of the movie, born in 1878. The film McVeagh of the South Seas was produced by the The Progressive Motion Picture Company.",Id131,0.7371700207392374,0.5960725347201029,0.6693019408605003,
